name,what,who,address_1,address_2,suburb,phone,phone_2,free_call,email,website,twitter,social_media,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holidays,cost,tram_routes,bus_routes,nearest_train_station,category_1,category_2,category_3,category_4,category_5,category_6,longitude,latitude,geocoded_location,Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,category,Unnamed: 0,Serial No.,Estimate type,Gender,Chapter,Indicator,Indicator category,Stratified by,Sub-population,%,RSE,UL,LL,Sig.,Year
614/AMP Youth Bus,"a safe place for Melbourne’s homeless and marginalized youth
provides activities and food
referral for D&A, medical and legal services
internet access",,,Bus located corner Swanston and Flinders Streets - Mobile service please check provider's website for updated location,Melbourne,,,,,salvationarmy.org.au/melbourne614,@melb614,acebook.com/melbourne614,6.30pm – 9.00pm,6.30pm – 9.00pm,6.30pm – 9.00pm,Closed,Closed,Closed,Closed,Closed,,,,,Food,,,,,,144.967553,-37.817291,"-37.817291, 144.967553",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
AL–ANON Family Groups,Support group for family and friends of alcoholics. Alateen is also for adolescents whose lives have been affected by an alcoholic.,,"Level 7, Suite 2",51 Queen Street,Melbourne,1300 252 666,,,alanonvsa@netspace.net.au,al-anon.alateen.org/australia/,,,10.30am to 2.30pm,10.30am to 2.30pm,10.30am to 2.30pm,10.30am to 2.30pm,Closed,Closed,Closed,Closed,,"11, 48, 109, 12 (stop 4 Queen St)",,Flinders Street,Drug and Alcohol,,,,,,144.961614,-37.817738,"-37.817738, 144.961614",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Aboriginal Family Violence Prevention and Legal Service Victoria,"Legal Services, Counselling Support, Information, Referral and Support, Community Education and Training",,Level 3,70-80 Wellington Street,Collingwood,9244 3333,,1800 105 303,,fvpls.org,@FVPLSVictoria,facebook.com/pages/Aboriginal-Family-Violence-Prevention-Legal-Service-Victoria/86033298731200,9.00am – 5.00pm,9.00am – 5.00pm,9.00am – 5.00pm,9.00am – 5.00pm,9.00am – 5.00pm,Closed,Closed,Closed,,86 (stop 15 Gertrude St),,,Legal / Financial Advice,Counselling and Psychiatric Services,,,,,144.986299,-37.806427,"-37.806427, 144.986299",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Aboriginal Housing Victoria,,,,,,,,,,ahvic.org.au,,,,,,,,,,,,,,,Helpful website,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Action Centre,"contraception, sexuality and gender issues, pregnancy and unplanned pregnancy, sexually transmissible infections, sexual decision making, relationships",Services are for under 25 year olds,Level 1,92-94 Elizabeth Street,Melbourne,9660 4700,,1800 013 952,,fpv.org.au,,,10.00am-6.00pm,10.00am-6.00pm,10.00am-6.00pm,10.00am-6.00pm,10.00am-6.00pm,Closed,Closed,Closed,"Over 18 years and working $35 per year, If on a pension or student benefit $10 per year.  Free for under 18 year olds.","11, 42, 48, 109, 112 (stop 5 Elizabeth St)",,Flinders Street,Health Services / Pharmacy,Counselling and Psychiatric Services,,,,,144.96417,-37.815731,"-37.815731, 144.96417",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Adult Outreach Support Services,"Adult Outreach Support Services works with people who are homeless, or at risk of homelessness, to secure and maintain safe and affordable housing and achieve independence in the community.","People who are homeless, or at risk of homelessness",,179 Flemington Road,North Melbourne,9329 5100,,,,vincentcare.org.au,,,,,,,,,,,,"55, 57, 59",,,Accommodation,,,,,,144.948507,-37.795439,"-37.795439, 144.948507",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Alcoholics Anonymous Victoria,"AA is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. Two gay and lesbian groups and two Koori groups are held weekly.  24 hour Help Line",,Level 1,36 Church Street,Richmond,9429 1833,,,,aavictoria.org.au,@AAMelbourne,facebook.com/Alcoholics.Anonymous.Victoria,9:00am – 5:00pm,9:00am – 5:00pm,9:00am – 5:00pm,9:00am – 5:00pm,9:00am – 5:00pm,10:00 am. – 2:00 pm,Closed,Closed,,"24, 78, 79, 109  (stop 21 Church St)",,,Drug and Alcohol,,,,,,145.000307,-37.811648,"-37.811648, 145.000307",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Anglicare Victoria – Lazarus Centre,"Breakfast seven days a week, BBQ lunch every Friday, Clothes, Toiletries",,St. Peter’s East Melbourne,15 Gisborne Street,East Melbourne,9419 3288,,,,anglicarevic.org.au,@AnglicareVic,,7.30 am to 9.00 am,7.30 am to 9.00 am,7.30 am to 9.00 am,7.30 am to 9.00 am,"7.30 am to 9.00 am, 11:00 am – 12:00 pm (BBQ lunch Friday's)",7.30 am to 9.00 am,7.30 am to 9.00 am,Closed,,"11, 12, 42, 109 (stop 11 Albert St)",,,Food,Clothes and Blankets,Showers / Laundry,,,,144.975486,-37.80991,"-37.80991, 144.975486",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Anglicare Victoria – Mission House,Provides Emergency Relief to people living in Public Housing and rental properties with a Health Care Card.,"Assistance may be given to those living in the following postcodes: 3000, 3051, 3053, 3054, 3065, 3066, 3067, 3068, 3070.",,122 Napier Street,Fitzroy,9486 0445,,,,anglicarevic.org.au,@AnglicareVic,,Closed,"10.00am – 12.00 Noon (Utility & Pharmaceutical ), 10.00am – 3.00pm (Op Shop), 1.30pm – 3.30pm (Food Parcels)",Closed,"10.00am – 12.00 Noon (Utility & Pharmaceutical ), 10.00am – 3.00pm (Op Shop), 1.30pm – 3.30pm (Food Parcels)",Closed,Closed,Closed,Closed,,"12, 86 (stop 14 Napier St)",,,Food,Clothes and Blankets,Showers / Laundry,,,,144.97996,-37.804544,"-37.804544, 144.97996",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Anglicare Victoria – St.Mark’s Community Centre,"St Mark’s provides assistance to homeless people.  Drop-in centre Monday to Friday.
Bread, fruit, vegetables, weekly food parcels are available.
Lunch, Tea and Coffee facilities, Showers, Washing machines and dryers, Toiletries, Public telephones, Advice and referral.
St Mark’s will provide up to five PBS prescriptions per month for homeless people through the co-payment prescription scheme.  (Not Methadone / Buprenorphine).",,,250 George Street,Fitzroy,9419 3288,,,,anglicarevic.org.au,@AnglicareVic,,"11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)",Closed,Closed,Closed,,"11 (stop 40), 86 (stop 18 Grant St)",,,Food,Clothes and Blankets,Showers / Laundry,,,,144.981835,-37.801611,"-37.801611, 144.981835",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
